"Rank","Name","Symbol","marketcap","price (USD)","country"
"628","Tradegate Exchange","T2G.F","2464388984","101.088","Germany"
"629","Basic-Fit","BFIT.AS","2459588606","37.2665","Netherlands"
"630","TietoEVRY","TIETO.HE","2458183602","20.7614","Finland"
"631","MVV Energie","MVV1.F","2438972252","37.0064","Germany"
"632","Inter Cars","CAR.WA","2394574805","169.012","Poland"
"633","Bavarian Nordic","BAVA.CO","2382454783","30.6107","Denmark"
"634","B&M European Value Retail","BME.L","2381120809","2.36918","Luxembourg"
"635","Elmos Semiconductor","ELG.DE","2379395802","138.804","Germany"
"636","Elekta AB","EKTA-B.ST","2356756007","6.14429","Sweden"
"637","Atrium Ljungberg","ATRLJ-B.ST","2354912773","3.73482","Sweden"
"638","Construcciones y Auxiliar de Ferrocarriles","CAF.MC","2332513115","68.1012","Spain"
"639","Netcompany Group","NETC.CO","2331877395","51.0917","Denmark"
"640","Südzucker","SZU.F","2322968958","11.3798","Germany"
"641","Clas Ohlson AB","CLAS-B.ST","2320774671","36.5108","Sweden"
"642","AT&amp;S Austria Technologie &amp; Systemtechnik","ATS.VI","2315015493","59.5886","Austria"
"643","Mainova","MNV6.F","2314671809","420.903","Germany"
"644","Dermapharm","DMP.F","2304336770","42.7997","Germany"
"645","Eramet","ERA.PA","2293477352","80.4564","France"
"646","Alleima AB","ALLEI.ST","2286136636","9.1388","Sweden"
"647","Neinor Homes","HOME.MC","2283470106","23.1733","Spain"
"648","GN Store Nord","GN.CO","2278433380","15.6472","Denmark"
"649","Kinnevik","KINV-A.ST","2258471546","8.01863","Sweden"
"650","KSB SE &amp; Co. KGaA","KSB.DE","2256971472","1288.72","Germany"
"651","MM Group (Mayr-Melnhof AG)","MYM.F","2222451424","113.384","Austria"
"652","Gelsenwasser","WWG.F","2214988743","644.36","Germany"
"653","Exail Technologies","EXA.PA","2203285021","129.818","France"
"654","Galapagos NV","GLPG","2198326272","33.36","Belgium"
"655","Ströer","SAX.F","2196787560","39.0754","Germany"
"656","Elvalhalcor Hellenic Copper and Aluminium Industry","ELHA.AT","2189583209","5.84062","Greece"
"657","Ariston Holding","ARIS.MI","2168338205","5.89501","Italy"
"658","Cadeler A/S","CDLR","2140551936","24.43","Denmark"
"659","Avadel Pharmaceuticals","AVDL","2128905472","21.69","Ireland"
"660","Antin Infrastructure Partners","ANTIN.PA","2112478871","11.8231","France"
"661","Semapa","SEM.LS","2110523307","26.4247","Portugal"
"662","Gestamp Automoción","GEST.MC","2107029109","3.703","Spain"
"663","OEM International","OEM-B.ST","2095742946","15.1056","Sweden"
"664","Adient","ADNT","2094348544","26.46","Ireland"
"665","Bravida Holding","BRAV.ST","2094054621","10.2368","Sweden"
"666","BillerudKorsnäs","BILL.ST","2067368954","8.31254","Sweden"
"667","Sinch","SINCH.ST","2063655002","2.6751","Sweden"
"668","AddLife AB","ALIF-B.ST","2054382048","16.858","Sweden"
"669","Metsä Board","METSA.HE","2053313904","5.78151","Finland"
"670","Solvac","SOLV.BR","2047029827","95.7673","Belgium"
"671","Believe S.A.","BLV.PA","2046442441","20.3214","France"
"672","Hamburger Hafen","HHFA.F","2043762482","26.9567","Germany"
"673","Navitas Semiconductor","NVTS","2042196096","8.86","Ireland"
"674","Peugeot Invest Société anonyme","PEUG.PA","2038799115","82.1707","France"
"675","Storskogen Group","STOR-B.ST","2037701405","1.21389","Sweden"
"676","Grand City Properties","GYC.DE","2034461674","11.5512","Luxembourg"
"677","AQ Group","AQ.ST","2024602064","22.0706","Sweden"
"678","Montea Comm","MONT.BR","2017704539","86.6635","Belgium"
"679","Meliá Hotels International","MEL.MC","2017589978","9.16292","Spain"
"680","Systemair AB","SYSR.ST","2016217678","9.71552","Sweden"
"681","Perrigo","PRGO","2014815616","14.64","Ireland"
"682","TF1","TFI.PA","2013386469","9.57082","France"
"683","Cyfrowy Polsat","CPS.WA","1999653731","3.63109","Poland"
"684","Lanxess","LXS.F","1983946014","22.8305","Germany"
"685","Tessenderlo Group","TESB.BR","1983671036","32.9865","Belgium"
"686","DEUTZ","DEZ.DE","1981516163","12.9818","Germany"
"687","Friedrich Vorwerk Group","VH2.DE","1979878253","97.5408","Germany"
"688","Argan SA","ARG.PA","1978881252","76.8503","France"
"689","Robertet","CBE.PA","1955471840","932.845","France"
"690","Dom Development","DOM.WA","1952344318","75.6769","Poland"
"691","Icade","ICAD.PA","1945208988","25.6562","France"
"692","Pfeiffer Vacuum","PFV.F","1941721903","196.264","Germany"
"693","Fagron","FAGR.BR","1926751291","26.3065","Belgium"
"694","Gimv NV","GIMB.BR","1914969328","52.0218","Belgium"
"695","STEF SA","STF.PA","1914289072","151.336","France"
"696","Faes Farma","FAE.MC","1909962073","6.1362","Spain"
"697","Caisse Régionale de Crédit Agricole Mutuel Nord de France","CNDF.PA","1904467062","32.5136","France"
"698","Dürr","DUE.F","1902279954","27.4888","Germany"
"699","Pluxee","PLX.PA","1897543742","13.301","France"
"700","Vossloh AG","VOS.DE","1895967880","98.1319","Germany"
"701","Caisse Régionale de Crédit Agricole Mutuel du Languedoc","CRLA.PA","1891692335","95.7673","France"
"702","Realia Business","RLIA.MC","1874045345","1.24143","Spain"
"703","Danaos","DAC","1869054464","102.08","Greece"
"704","Cimpress","CMPR","1866173696","75.64","Ireland"
"705","Électricite de Strasbourg","ELEC.PA","1864820204","260.109","France"
"706","Gränges","GRNG.ST","1856135817","17.4347","Sweden"
"707","TKH Group","TWEKA.AS","1854158733","46.4885","Netherlands"
"708","Siltronic","WAF.F","1842634193","61.4211","Germany"
"709","Rai Way","RWAY.MI","1838071109","6.84559","Italy"
"710","Metrovacesa","MVC.MC","1836956973","12.1187","Spain"
"711","RHI Magnesita","RHF.F","1823276803","38.5434","Austria"
"712","NP3 Fastigheter AB","NP3.ST","1820138695","29.5569","Sweden"
"713","Vaisala","VAIAS.HE","1819680756","50.1892","Finland"
"714","Sanoma","SANOMA.HE","1809016410","11.1137","Finland"
"715","Métropole Télévision (Groupe M6)","MMT.PA","1796761068","14.2823","France"
"716","Jeudan","JDAN.CO","1788334612","32.2884","Denmark"
"717","Avio S.p.A.","AVIO.MI","1784387684","38.9572","Italy"
"718","Polestar","PSNY","1777079936","19.42","Sweden"
"719","Wacker Neuson","WAC.F","1767216343","25.7153","Germany"
"720","Hacksaw AB","HACK.ST","1764074627","6.09993","Sweden"
"721","Jenoptik","JEN.F","1762214082","30.7874","Germany"
"722","Wüstenrot &amp; Württembergische","WUW.F","1761353888","18.6332","Germany"
"723","Verbio","VBK.F","1755226596","27.5479","Germany"
"724","Proeduca Altus","PRO.MC","1746356315","38.6676","Spain"
"725","Prosegur","PSG.MC","1741328955","3.26909","Spain"
"726","Prodea Real Estate Investment Company","PRODEA.AT","1736927801","6.7983","Greece"
"727","Nokian Tyres","TYRES.HE","1736036735","12.5916","Finland"
"728","AlzChem Group","ACT.DE","1731471835","170.253","Germany"
"729","Afry AB","AFRY.ST","1719532191","15.1833","Sweden"
"730","Pharvaris","PHVS","1716228864","26.42","Netherlands"
"731","Deutsche EuroShop","DEQ.F","1713705290","22.8423","Germany"
"732","PORR","ABS2.F","1707999316","43.3318","Austria"
"733","Ipsos","IPS.PA","1684612454","39.04","France"
"734","Bure Equity AB","BURE.ST","1681218705","22.5808","Sweden"
"735","Embracer Group","EMBRAC-B.ST","1676689892","5.16109","Sweden"
"736","Lindab International","LIAB.ST","1673487007","21.7235","Sweden"
"737","Eurocommercial Properties","ECMPA.AS","1671156866","30.5628","Netherlands"
"738","Comer Industries","COM.MI","1655299273","57.8151","Italy"
"739","Nexa Resources","NEXA","1640914432","12.39","Luxembourg"
"740","Palfinger","PFI.F","1638965576","45.992","Austria"
"741","Nürnberger Versicherung","NBG6.F","1633673053","141.878","Germany"
"742","Atoss","AOF.F","1623627671","101.206","Germany"
"743","Etablissements Maurel &amp; Prom","MAU.PA","1622721925","8.15796","France"
"744","Drägerwerk","DRW8.F","1620607156","80.3973","Germany"
"745","Industrie De Nora","DNR.MI","1620211715","8.15205","Italy"
"746","OVH Groupe","OVH.PA","1618233450","10.759","France"
"747","Clariane","CLARI.PA","1617654287","4.53772","France"
"748","Compagnie des Alpes","CDA.PA","1615684195","31.8633","France"
"749","Bittium","BITTI.HE","1612455744","45.4008","Finland"
"750","uniQure","QURE","1597781120","25.65","Netherlands"
"751","Fluxys Belgium","FLUX.BR","1590856160","22.6413","Belgium"
"752","secunet","YSN.F","1589950716","244.148","Germany"
"753","Kontron AG","KTN.F","1587448678","25.7981","Austria"
"754","Dalata Hotel Group","DHG.IR","1586221998","7.50058","Ireland"
"755","Aegean Airlines","AEGN.AT","1583733227","17.7347","Greece"
"756","Xior Student Housing","XIOR.BR","1578954641","33.8141","Belgium"
"757","Derichebourg","DBG.PA","1567919522","9.89596","France"
"758","Redcare Pharmacy","RDC.DE","1559491165","76.4365","Netherlands"
"759","Hornbach Holding","HBH.DE","1558444525","97.4226","Germany"
"760","Vimian Group","VIMIAN.ST","1555611111","2.95236","Sweden"
"761","Moltiply Group (Gruppo Mutuionline)","MOL.MI","1553582099","40.7307","Italy"
"762","Nolato AB","NOLA-B.ST","1552058882","5.76166","Sweden"
"763","Newag","NWG.WA","1551376197","34.475","Poland"
"764","Terveystalo","TTALO.HE","1548373416","12.2251","Finland"
"765","Dole PLC","DOLE","1544489856","16.23","Ireland"
"766","Pharma Mar","PHM.MC","1541969784","90.1513","Spain"
"767","SeSa S.p.A.","SES.MI","1539431425","101.974","Italy"
"768","Cloetta","CLA-B.ST","1538257682","5.36572","Sweden"
"769","Ferretti","F3T1.F","1537623867","4.41003","Italy"
"770","Wavestone SA","WAVE.PA","1532821824","62.4261","France"
"771","Planisware","PLNW.PA","1530709930","21.9437","France"
"772","New Wave Group","NEWA-B.ST","1524580614","11.49","Sweden"
"773","Paradox Interactive","PDX.ST","1517016654","14.3626","Sweden"
"774","PFISTERER Holding SE","PFSE.DE","1516850880","83.826","Germany"
"775","Betsson AB","BETS-B.ST","1486216135","10.7969","Sweden"
"776","Befesa","BFSA.DE","1477285289","36.7463","Luxembourg"
"777","Nexus AG","NXU.DE","1470436668","85.1369","Germany"
"778","Jumia","JMIA","1458532224","11.91","Germany"
"779","Douglas Group","DOU.DE","1445106410","13.2892","Germany"
"780","Corbion","CRBN.AS","1444735939","24.8522","Netherlands"
"781","OVS S.p.A.","OVS.MI","1440529706","5.91156","Italy"
"782","Ramsay Générale de Santé","GDS.PA","1435402442","13.0054","France"
"783","Dometic Group","DOM.ST","1431575434","4.48067","Sweden"
"784","Rusta AB","RUSTA.ST","1422391518","9.29962","Sweden"
"785","Cibus Nordic Real Estate","CIBUS.ST","1421131463","17.3127","Sweden"
"786","Italmobiliare","ITM.MI","1418851427","33.6959","Italy"
"787","Banco di Desio e della Brianza","BDB.MI","1417652240","10.7827","Italy"
"788","engcon AB","ENGCON-B.ST","1414390429","9.28298","Sweden"
"789","H&amp;K AG (Heckler &amp; Koch)","MLHK.PA","1409578464","39.7257","Germany"
"790","thyssenkrupp nucera","NCH2.DE","1387304223","10.8359","Germany"
"791","Telia Lietuva","ZWS.F","1384550059","2.37645","Lithuania"
"792","Cembre S.p.A.","CMB.MI","1381697527","82.1707","Italy"
"793","MBB SE","MBB.DE","1379797503","255.38","Germany"
"794","Intercos","ICOS.MI","1374755441","14.5188","Italy"
"795","Adtran Networks","ADV.DE","1372446659","26.3656","Germany"
"796","atai Life Sciences","ATAI","1369319040","3.77","Germany"
"797","B.F. S.p.A.","BFG.MI","1368281589","5.22582","Italy"
"798","Spadel","SPA.BR","1364149056","328.683","Belgium"
"799","Vitrolife AB","VITR.ST","1364010858","10.0704","Sweden"
"800","Bilia AB","BILI-A.ST","1359675680","14.7618","Sweden"
"801","SMA Solar Technology","S92.F","1357011293","38.7799","Germany"
"802","Hemnet Group AB","HEM.ST","1355861220","14.5178","Sweden"
"803","Sanlorenzo","SL.MI","1351958637","38.2478","Italy"
"804","About You","YOU.DE","1349692882","7.76846","Germany"
"805","EL.En. S.p.A. (Elen Group)","ELN.MI","1349402572","16.8361","Italy"
"806","Soitec","SOI.PA","1344972513","37.6921","France"
"807","Frequentis","FQT.VI","1324782624","99.7872","Austria"
"808","VIEL &amp; Cie","VIL.PA","1317901678","20.9269","France"
"809","Tarkett","TKTT.PA","1317142728","20.0993","France"
"810","Salvatore Ferragamo","SFER.MI","1310448379","7.90967","Italy"
"811","Klöckner &amp; Co","KCO.DE","1302009883","13.0527","Germany"
"812","Alma Media","ALMA.HE","1301504874","15.843","Finland"
"813","Immatics","IMTX","1291034752","9.63","Germany"
"814","ProSiebenSat.1 Media","PSM.F","1270465252","5.60416","Germany"
"815","Develia","DVL.WA","1268791750","2.73838","Poland"
"816","Scandinavian Tobacco Group","STG.CO","1268606853","16.1126","Denmark"
"817","BayWa","BYW.F","1266566609","19.7446","Germany"
"818","Modern Times Group (MTG)","MTG-B.ST","1261240172","10.381","Sweden"
"819","Lenzing","LEN.F","1255615935","32.5136","Austria"
"820","Evotec","EVO","1253888384","3.53","Germany"
"821","Bonesupport Holding AB","BONEX.ST","1252686908","19.0207","Sweden"
"822","Norion Bank","NORION.ST","1241853167","6.54356","Sweden"
"823","Puuilo","PUUILO.HE","1237602333","14.6725","Finland"
"824","Aedas Homes","AEDAS.MC","1228441586","28.3164","Spain"
"825","Zeal Network","TIMA.F","1227379586","58.1698","Germany"
"826","Inventiva","IVA","1221498112","5.88","France"
"827","Fnac Darty","FNAC.PA","1219996507","41.913","France"
"828","Vetoquinol","VETO.PA","1217106140","102.861","France"
"829","Caisse Régionale de Crédit Agricole Mutuel Alpes Provence","CRAP.PA","1216739529","163.75","France"
"830","Mercialys","MERY.PA","1216327516","13.0291","France"
"831","D/S Norden (Dampskibsselskabet Norden)","DNORD.CO","1212833897","42.3548","Denmark"
"832","Adecoagro","AGRO","1212361344","8.57","Luxembourg"
"833","Electrica","ECEA.F","1204373333","14.1878","Romania"
"834","Fiskars","FSKRS.HE","1199089890","14.8735","Finland"
"835","ChemoMetec","CHEMM.CO","1189903722","68.3755","Denmark"
"836","Retail Estates NV","RET.BR","1184983255","78.8603","Belgium"
"837","GasLog","GLOP-PA","1184410496","25.81","Greece"
"838","Caisse régionale de Crédit Agricole Mutuel Atlantique Vendée","CRAV.PA","1181158464","160.156","France"
"839","TF Bank AB","TFBANK.ST","1169887884","18.0957","Sweden"
"840","Alerion Clean Power","ARN.MI","1169633923","21.8255","Italy"
"841","DBV Technologies","DBVT","1168416640","21.26","France"
"842","Sedlmayr Grund und Immobilien AG","SPB.F","1154626536","1572.48","Germany"
"843","Rosetti Marino","YRM.MI","1150153724","302.672","Italy"
"844","Polenergia","PEP.WA","1147094096","14.8551","Poland"
"845","JOST Werke SE","JST.DE","1146831369","76.9685","Germany"
"846","CTT - Correios De Portugal","CTT.LS","1146237754","8.64271","Portugal"
"847","Neurones","NRO.PA","1144686030","47.056","France"
"848","Einhell Germany","EIN.DE","1142696724","100.615","Germany"
"849","Vitec Software Group","VIT-B.ST","1142108769","28.7473","Sweden"
"850","GL Events SA","GLO.PA","1140945003","38.8981","France"
"851","Frey SA","FREY.PA","1139084781","35.7058","France"
"852","Altareit","AREIT.PA","1126611288","644.36","France"
"853","Eckert &amp; Ziegler","EUZ.F","1124224946","17.7465","Germany"
"854","Pharming Group","PHAR","1120971392","16.09","Netherlands"
"855","Barco NV","BAR.BR","1113900652","13.2892","Belgium"
"856","Voltalia","VLTSA.PA","1105442028","8.44171","France"
"857","Prosegur Cash","CASH.MC","1105213284","0.755498","Spain"
"858","Atos","ATO.PA","1102597819","56.8988","France"
"859","Altri","ALTR.LS","1088958660","5.30858","Portugal"
"860","Corticeira Amorim","COR.LS","1088153250","8.1816","Portugal"
"861","Plejd AB","PLEJD.ST","1084662681","97.0292","Sweden"
"862","AMAG Austria Metall","AM8.F","1084240306","30.6219","Austria"
"863","Dynavox Group","DYVOX.ST","1079931138","10.2312","Sweden"
"864","Inwido AB","INWI.ST","1076148557","18.5631","Sweden"
"865","Caisse Régionale de Crédit Agricole Mutuel Sud Rhône Alpes","CRSU.PA","1073876286","236.415","France"
"866","Juventus Turin","JUVE.MI","1063226468","2.80445","Italy"
"867","TeamViewer","TMV.DE","1058751386","6.74509","Germany"
"868","AMS-Osram","AMS.SW","1057628692","10.6216","Austria"
"869","Montepino Logística","MLMTP.PA","1057313316","12.2961","Spain"
"870","Gerresheimer","GXI.F","1053596579","30.5037","Germany"
"871","Aktia Bank","AKTIA.HE","1050810029","14.3296","Finland"
"872","Curevac","CVAC","1049304960","4.66","Germany"
"873","SÜSS MicroTec","SMHN.DE","1046857208","54.7647","Germany"
"874","Creades AB","CRED-A.ST","1044210104","7.69145","Sweden"
"875","Synsam","SYNSAM.ST","1040059250","7.29773","Sweden"
"876","BKS Bank","BKS.VI","1037624576","22.7004","Austria"
"877","Sipef","SIP.BR","1034587640","99.3143","Belgium"
"878","Kempower","KEMPOWR.HE","1033857368","18.6569","Finland"
"879","Rhön-Klinikum","RHK.DE","1028848600","15.3701","Germany"
"880","HelloFresh","HFG.DE","1027019402","7.16481","Germany"
"881","Samhällsbyggnadsbolaget i Norden","SBB-B.ST","1025369254","0.528254","Sweden"
"882","Viridien","VIRI.PA","1025295382","142.705","France"
"883","Northern Data AG","NB2.DE","1022022135","15.1336","Germany"
"884","LuxExperience","LUXE","1019853696","7.43","Germany"
"885","Indus Holding","INH.F","1014142523","37.4202","Germany"
"886","Navigo Invest","NAVIGO-STAM.ST","1012545596","0.207354","Sweden"
"887","Lectra SA","LSS.PA","1009291976","26.5429","France"
"888","Nanobiotix","NBTX","1008888832","20.85","France"
"889","Manitou Group","MTU.PA","1006701104","26.3065","France"
"890","BFF Bank","BFF.MI","992041789","5.25183","Italy"
"891","Pierre et Vacances","VAC.PA","989466429","2.14235","France"
"892","Hanza AB","HANZA.ST","985954371","15.6602","Sweden"
"893","Criteo","CRTO","981604288","19.19","France"
"894","NEUCA","NEU.WA","976501720","216.94","Poland"
"895","Safilo Group","SFL.MI","973690103","2.48286","Italy"
"896","BASSAC","BASS.PA","967805856","60.2979","France"
"897","Ålandsbanken","ALBAV.HE","964742512","62.6626","Finland"
"898","Asseco South Eastern Europe","ASE.WA","962890123","18.5549","Poland"
"899","Sto SE &amp; Co. KGaA","STO3.DE","960329176","149.444","Germany"
"900","GAG Immobilien","GWK3.HM","954503950","59.1156","Germany"
"901","Cancom","COK.F","950155234","30.149","Germany"
"902","MLP SE","MLP.DE","948092978","8.67817","Germany"
"903","Nagarro","NA9.DE","945085477","71.9437","Germany"
"904","GH Research","GHRS","940675776","15.165","Ireland"
"905","Savencia Fromage &amp; Dairy","SAVE.PA","939786976","72.594","France"
"906","Caisse Régionale de Crédit Agricole Mutuel Loire Haute-Loire","CRLO.PA","938978690","115.867","France"
"907","Volati AB","VOLO.ST","938578350","10.5346","Sweden"
"908","Paul Hartmann","PHH2.F","936437078","263.656","Germany"
"909","Exmar","EXM.BR","927908385","11.6694","Belgium"
"910","Karnov Group","KAR.ST","921682119","8.55099","Sweden"
"911","OCI","OCI.AS","917370934","4.34618","Netherlands"
"912","Renta 4 Banco","R4.MC","914129695","22.4639","Spain"
"913","GVS S.p.A.","GVS.MI","911802374","4.88295","Italy"
"914","MedCap","MCAP.ST","906162271","60.3338","Sweden"
"915","Crédit Agricole Mutuel de la Touraine et du Poitou","CRTO.PA","905496581","144.833","France"
